group_name,pc_name,mac,serial_number
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58740,AA:BB:CC:DD:EE:58740,SN058740
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58741,AA:BB:CC:DD:EE:58741,SN058741
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58742,AA:BB:CC:DD:EE:58742,SN058742
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58743,AA:BB:CC:DD:EE:58743,SN058743
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58744,AA:BB:CC:DD:EE:58744,SN058744
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58745,AA:BB:CC:DD:EE:58745,SN058745
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58746,AA:BB:CC:DD:EE:58746,SN058746
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58747,AA:BB:CC:DD:EE:58747,SN058747
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58748,AA:BB:CC:DD:EE:58748,SN058748
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58749,AA:BB:CC:DD:EE:58749,SN058749
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58750,AA:BB:CC:DD:EE:58750,SN058750
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58751,AA:BB:CC:DD:EE:58751,SN058751
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58752,AA:BB:CC:DD:EE:58752,SN058752
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58753,AA:BB:CC:DD:EE:58753,SN058753
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58754,AA:BB:CC:DD:EE:58754,SN058754
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58755,AA:BB:CC:DD:EE:58755,SN058755
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58756,AA:BB:CC:DD:EE:58756,SN058756
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58757,AA:BB:CC:DD:EE:58757,SN058757
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58758,AA:BB:CC:DD:EE:58758,SN058758
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58759,AA:BB:CC:DD:EE:58759,SN058759
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58760,AA:BB:CC:DD:EE:58760,SN058760
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58761,AA:BB:CC:DD:EE:58761,SN058761
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58762,AA:BB:CC:DD:EE:58762,SN058762
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58763,AA:BB:CC:DD:EE:58763,SN058763
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58764,AA:BB:CC:DD:EE:58764,SN058764
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58765,AA:BB:CC:DD:EE:58765,SN058765
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58766,AA:BB:CC:DD:EE:58766,SN058766
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58767,AA:BB:CC:DD:EE:58767,SN058767
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58768,AA:BB:CC:DD:EE:58768,SN058768
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58769,AA:BB:CC:DD:EE:58769,SN058769
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58770,AA:BB:CC:DD:EE:58770,SN058770
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58771,AA:BB:CC:DD:EE:58771,SN058771
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58772,AA:BB:CC:DD:EE:58772,SN058772
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58773,AA:BB:CC:DD:EE:58773,SN058773
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58774,AA:BB:CC:DD:EE:58774,SN058774
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58775,AA:BB:CC:DD:EE:58775,SN058775
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58776,AA:BB:CC:DD:EE:58776,SN058776
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58777,AA:BB:CC:DD:EE:58777,SN058777
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58778,AA:BB:CC:DD:EE:58778,SN058778
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58779,AA:BB:CC:DD:EE:58779,SN058779
사업장/천안 캠퍼스/SDC 3공장/A2 LINE/장비1,PC58780,AA:BB:CC:DD:EE:58780,SN058780
