group_name,pc_name,mac,serial_number
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50400,AA:BB:CC:DD:EE:50400,SN050400
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50401,AA:BB:CC:DD:EE:50401,SN050401
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50402,AA:BB:CC:DD:EE:50402,SN050402
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50403,AA:BB:CC:DD:EE:50403,SN050403
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50404,AA:BB:CC:DD:EE:50404,SN050404
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50405,AA:BB:CC:DD:EE:50405,SN050405
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50406,AA:BB:CC:DD:EE:50406,SN050406
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50407,AA:BB:CC:DD:EE:50407,SN050407
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50408,AA:BB:CC:DD:EE:50408,SN050408
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50409,AA:BB:CC:DD:EE:50409,SN050409
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50410,AA:BB:CC:DD:EE:50410,SN050410
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50411,AA:BB:CC:DD:EE:50411,SN050411
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50412,AA:BB:CC:DD:EE:50412,SN050412
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50413,AA:BB:CC:DD:EE:50413,SN050413
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50414,AA:BB:CC:DD:EE:50414,SN050414
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50415,AA:BB:CC:DD:EE:50415,SN050415
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50416,AA:BB:CC:DD:EE:50416,SN050416
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50417,AA:BB:CC:DD:EE:50417,SN050417
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50418,AA:BB:CC:DD:EE:50418,SN050418
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50419,AA:BB:CC:DD:EE:50419,SN050419
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50420,AA:BB:CC:DD:EE:50420,SN050420
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50421,AA:BB:CC:DD:EE:50421,SN050421
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50422,AA:BB:CC:DD:EE:50422,SN050422
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50423,AA:BB:CC:DD:EE:50423,SN050423
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50424,AA:BB:CC:DD:EE:50424,SN050424
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50425,AA:BB:CC:DD:EE:50425,SN050425
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50426,AA:BB:CC:DD:EE:50426,SN050426
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50427,AA:BB:CC:DD:EE:50427,SN050427
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50428,AA:BB:CC:DD:EE:50428,SN050428
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50429,AA:BB:CC:DD:EE:50429,SN050429
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50430,AA:BB:CC:DD:EE:50430,SN050430
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50431,AA:BB:CC:DD:EE:50431,SN050431
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50432,AA:BB:CC:DD:EE:50432,SN050432
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50433,AA:BB:CC:DD:EE:50433,SN050433
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50434,AA:BB:CC:DD:EE:50434,SN050434
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50435,AA:BB:CC:DD:EE:50435,SN050435
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50436,AA:BB:CC:DD:EE:50436,SN050436
사업장/천안 캠퍼스/SDC 3공장/A1 LINE/장비1,PC50437,AA:BB:CC:DD:EE:50437,SN050437
