group_name,pc_name,mac,serial_number
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17041,AA:BB:CC:DD:EE:17041,SN017041
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17042,AA:BB:CC:DD:EE:17042,SN017042
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17043,AA:BB:CC:DD:EE:17043,SN017043
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17044,AA:BB:CC:DD:EE:17044,SN017044
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17045,AA:BB:CC:DD:EE:17045,SN017045
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17046,AA:BB:CC:DD:EE:17046,SN017046
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17047,AA:BB:CC:DD:EE:17047,SN017047
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17048,AA:BB:CC:DD:EE:17048,SN017048
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17049,AA:BB:CC:DD:EE:17049,SN017049
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17050,AA:BB:CC:DD:EE:17050,SN017050
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17051,AA:BB:CC:DD:EE:17051,SN017051
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17052,AA:BB:CC:DD:EE:17052,SN017052
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17053,AA:BB:CC:DD:EE:17053,SN017053
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17054,AA:BB:CC:DD:EE:17054,SN017054
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17055,AA:BB:CC:DD:EE:17055,SN017055
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17056,AA:BB:CC:DD:EE:17056,SN017056
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17057,AA:BB:CC:DD:EE:17057,SN017057
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17058,AA:BB:CC:DD:EE:17058,SN017058
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17059,AA:BB:CC:DD:EE:17059,SN017059
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17060,AA:BB:CC:DD:EE:17060,SN017060
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17061,AA:BB:CC:DD:EE:17061,SN017061
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17062,AA:BB:CC:DD:EE:17062,SN017062
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17063,AA:BB:CC:DD:EE:17063,SN017063
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17064,AA:BB:CC:DD:EE:17064,SN017064
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17065,AA:BB:CC:DD:EE:17065,SN017065
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17066,AA:BB:CC:DD:EE:17066,SN017066
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17067,AA:BB:CC:DD:EE:17067,SN017067
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17068,AA:BB:CC:DD:EE:17068,SN017068
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17069,AA:BB:CC:DD:EE:17069,SN017069
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17070,AA:BB:CC:DD:EE:17070,SN017070
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17071,AA:BB:CC:DD:EE:17071,SN017071
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17072,AA:BB:CC:DD:EE:17072,SN017072
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17073,AA:BB:CC:DD:EE:17073,SN017073
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17074,AA:BB:CC:DD:EE:17074,SN017074
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17075,AA:BB:CC:DD:EE:17075,SN017075
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17076,AA:BB:CC:DD:EE:17076,SN017076
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17077,AA:BB:CC:DD:EE:17077,SN017077
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17078,AA:BB:CC:DD:EE:17078,SN017078
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17079,AA:BB:CC:DD:EE:17079,SN017079
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17080,AA:BB:CC:DD:EE:17080,SN017080
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17081,AA:BB:CC:DD:EE:17081,SN017081
사업장/천안 캠퍼스/SDC 1공장/A3 LINE/장비1,PC17082,AA:BB:CC:DD:EE:17082,SN017082
