group_name,pc_name,mac,serial_number
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33720,AA:BB:CC:DD:EE:33720,SN033720
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33721,AA:BB:CC:DD:EE:33721,SN033721
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33722,AA:BB:CC:DD:EE:33722,SN033722
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33723,AA:BB:CC:DD:EE:33723,SN033723
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33724,AA:BB:CC:DD:EE:33724,SN033724
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33725,AA:BB:CC:DD:EE:33725,SN033725
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33726,AA:BB:CC:DD:EE:33726,SN033726
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33727,AA:BB:CC:DD:EE:33727,SN033727
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33728,AA:BB:CC:DD:EE:33728,SN033728
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33729,AA:BB:CC:DD:EE:33729,SN033729
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33730,AA:BB:CC:DD:EE:33730,SN033730
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33731,AA:BB:CC:DD:EE:33731,SN033731
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33732,AA:BB:CC:DD:EE:33732,SN033732
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33733,AA:BB:CC:DD:EE:33733,SN033733
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33734,AA:BB:CC:DD:EE:33734,SN033734
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33735,AA:BB:CC:DD:EE:33735,SN033735
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33736,AA:BB:CC:DD:EE:33736,SN033736
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33737,AA:BB:CC:DD:EE:33737,SN033737
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33738,AA:BB:CC:DD:EE:33738,SN033738
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33739,AA:BB:CC:DD:EE:33739,SN033739
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33740,AA:BB:CC:DD:EE:33740,SN033740
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33741,AA:BB:CC:DD:EE:33741,SN033741
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33742,AA:BB:CC:DD:EE:33742,SN033742
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33743,AA:BB:CC:DD:EE:33743,SN033743
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33744,AA:BB:CC:DD:EE:33744,SN033744
사업장/천안 캠퍼스/SDC 2공장/A2 LINE/장비1,PC33745,AA:BB:CC:DD:EE:33745,SN033745
